user,time,score,comment
三孔景区,2021/4/29,5,"曲阜三孔是中国著名的旅游景点 ，凡到山东旅游必到曲阜。前不久，我和同学相约乘高铁到曲阜旅游，整个游程很顺利，当地旅游服务措施很到位，感觉很满意。
一，从高铁站可乘坐K01公交车就能直达孔庙南门，非常方便，票价3元，60岁以上的游客凭身份证可免费乘坐。
二，路牌、售票处及卫生间等各项便民服务设施很多，标志很清晰。孔庙、孔府、孔林票价分别为80元、60元、10元，60岁以上的游客可凭身份证免费参观噢。
三，三孔历史传承久远，文化积淀深厚。要想看的懂，玩的好，还是得请个专业的导游，才能了解景点背后不为人知的精彩故事。
        我们一行6人请导游讲解了孔庙孔府，导游费用100元，通过微信支付给曲阜旅游服务公司，我们找的这位导游比较敬业，在孔庙孔府参观的两个多小时里，细心讲解，周到服务，让我们不虚此行。
       以上信息仅供到曲阜旅游的朋友们参考。
                            
	                            
		                            "
三孔景区,2021/4/27,5,"位置：山东省济宁市曲阜市鼓楼街18号
交通：可以乘坐市内公交车1小时左右
时间??：8:00-17:00
门票：140元联票
～～～～～～～～～～～～～～～～～～～～～??????????????????????????????
??景点：
三孔景区包括孔府，孔庙，孔林，你可以购买景区联票，还可以租导游200元三个景区讲解，还有景区交通费50元左右，孔庙是孔子工作的地方，孔府是孔子后人生活居住的地方，孔林是孔子及后人的墓地，这里是名胜古迹，没有导游你会很懵逼，所以最好听导游的，还有就是看到好多人说背论文免门票，去的时候貌似因为疫情停止了这个，可能是我没找到，总的来说，这里还是挺大的，各种建筑和牌坊各式各样，历代君王都曾来此祭拜过，先贤圣哲比比皆是！
??????????????????????????????
?总结：
三孔景区是在一起的，形成完整的景区，孔子作为儒家思想文化的传播者和创造者，很多言论都是至理名言，形成我们生活的指引，孔子被称为万世师表，值得过来祭拜！
                            
	                            
		                            "
三孔景区,2021/4/27,5,"三孔：孔府孔林孔庙
三个景区之间有拉人载客的小马，沿途小摊有卖孔子的纪念牌什么的，济宁曲阜为孔子故乡，孔子创立儒家文化，为此后2000多年的中国历史深深地打上了儒学烙印。以孔子为代表的儒家文化，按照自己的理想塑造了整个中国的思想、政治和社会体系，成为整个中国文化的基石。
                            
	                            
		                            "
Vicky-小糖,2021/4/26,5,曲阜孔庙，是祭祀中国古代著名思想家和教育家孔子的祠庙。&#x20;它具有东方建筑特色、规模宏大、气势雄伟，与北京故宫，承德避暑山庄并列为中国三大古建筑群&#x20;。曲阜孔庙又称“阙里至圣庙”，与南京夫子庙、北京孔庙和吉林文庙并称为中国四大文庙。&#x0A;我们来时这里游客不多，可以细细追寻伟大的思想家孔子的足迹，想起了各种“子曰”。孔庙中种植了很多的侧柏和圆柏，树龄都非常古老，很多树皮上的鼓包已经被游客的手摸出包浆来了。
M42****2376,2021/4/26,5,景色不错，有趣好玩，性价比高，总体超赞，
三孔景区,2021/4/26,5,"终于来到了至圣孔子的三孔，作为中国人除了承认自己是炎黄子孙，龙的传人，自古还得加一句是读圣贤书长大的，当然这些圣贤中至圣的就是这万世师表孔子了！
孔子的地位无需赘述，三孔是孔庙，孔府，孔林，孔庙是孔子后人建立宗庙的地方得到了各代帝王的封赐，孔府就是孔子后人居住的地方，孔林则是孔子及其后代死后安葬的居所！
还是值得一去的，很多悠久的典故，神奇的现象，记得一定要找个导游哟！
                            
	                            
		                            "
asphodel,2021/4/25,5,广东有学前考前拜孔子的说法，五年前带着大娃去了一次，这次带着小娃，入住的jw鲁能万豪，游览全程步行，孔庙正门进，孔府后门出，跟着指引，不走回头路&#x0A;这里说说孔林，第二次去了，才印象深刻，真没必要坐游览车，可以直接进去走到孔子陵墓祭拜，游览车是把陵墓绕一圈，我们这种比较忌讳的，我觉得拜拜孔子就够了！
206****393,2021/4/24,5,有趣好玩，性价比高，
xyong2001,2021/4/24,5,景色不错，总体超赞，
M45****5955,2021/4/23,5,历史厚重。
三孔景区,2021/4/23,5,"门票直接从美团买就可以了，三个景点140块，感觉有点贵
一进入景区范围，就会有导游上来问要不要讲解，最开始一个景点100块，后面又降价到50，在孔林导游只需要10块了。个人觉得不需要找导游，实在想了解历史的可以租个讲解器30块。园内有很多带队导游，可以去旁听的。
从孔府到孔林，其实可以走过去的，不是很远。如果想坐车（电动三轮），超过两个人5块钱就可以还价了，还可以试试坐马车。
孔庙和孔府看的点比较多，印象比较深的就是园内几百年的圆柏，柱子上的五爪龙，勾心斗角，东瓶西镜、始钟有镜，六代含饴以及五柏一槐了
想了解每个大殿，门等典故的可以在导游讲解那认真听听，孔林主要就是看孔子和孔鲤的墓，毕竟是墓地，还是不要拍照的好。
                            
	                            
		                            "
M33****1565,2021/4/22,4,孔林&#x20;震撼。
叶儿随风而飘,2021/4/22,5,在携程网订的这酒店，非常不错，准老四星级酒店，曾经是***领导及***等外国首脑下塌的宾馆，有一定的荣誉感??酒店外装古老庭院***风格，前台和服务员服务热情，房间很温馨，欢迎水果还有孔子论语小礼品??尤其是位置俱佳，离孔庙孔府超近，左边步行街，右边孔庙，后面是孔府，出行超方便??停车位很大，餐厅包厢十分爆棚，估计有特色有气派的餐厅！早餐丰富，晚上正厅二楼还有免费传统节目观看！强烈推荐！！！我若再来还会选择阙里宾舍，也会推荐朋友住这！&#x0A;房间卫生舒适！有照片但上传太慢，要外出只好取消上传相片
new****lu,2021/4/22,4,成熟的景区，但管理一般，文字介绍很少。很多人拉你买东西，叫导游。
320****092,2021/4/22,5,儒家的创始人，值得虔诚地参拜，那天我们怀着崇敬的心情，瞻仰了孔老夫子居住地和陵寝地，为我们祖国有这样的先贤，而感到骄傲！
三孔景区,2021/4/22,4,"第一次到曲阜，第一次参观孔庙孔府。
昨天谷雨时节，早上酒店窗外沥沥下起了小雨。
幸幸好，今天行程计划中的孔庙、孔府与酒店近在咫尺，一墙之隔。
我们打雨伞去逛孔庙、孔府。
雨中散步一般走进游客不多的三孔景区。
孔庙的规模真的很大，也很安静。
建筑风格宏大气派。
孔府保存完好如初。
今年是孔子诞辰2572周年。
唯一遗憾的景区管理还是不太细腻，不如江浙一带的景区，尤其是古镇庙宇，例如孔庙内的拉圾筒、消防器材与周边建筑及古树色调不搭，既影响美观又不利于拍照。这是细节管理的问题，建议改进。
                            
	                            
		                            "
2233安安宁宁,2021/4/21,5,入住曲阜市阙里宾舍，环境和地理位置都还好，第一天散步孔府，第二天孔庙祈福，第三天补觉。行程比较宽松，带了戒尺，孔子书签和桃木剑回来，曲阜的景区收费非常人性化，老人和儿童免费，姓孔的也免费，好客山东，性价比高，总体超赞，很有大家风范。
M33****1565,2021/4/21,4,老师人很好&#x0A;&#x0A;有点儿小贵
M46****936,2021/4/20,5,可以，接待朋友
woolynn50,2021/4/20,5,孔子故乡曲阜有祭祀孔子的孔庙、孔子嫡系居住地孔府、孔子及后裔的墓地孔林，统称三孔，孔夫子生前在此首创儒家文化并由后代传承着其文化思想…一般逛的顺序为孔庙，孔府和孔林，前两者挨在一起，孔林要稍微晚点，可打车前往，孔庙规模很大，最有看头，是重点，最好请个导游，了解文化…
三孔景区,2021/4/20,5,"孔子故乡曲阜有祭祀孔子的孔庙、孔子嫡系居住地孔府、孔子及后裔的墓地孔林，统称三孔，孔夫子生前在此首创儒家文化并由后代传承着其文化思想…一般逛的顺序为孔庙，孔府和孔林，前两者挨在一起，孔林要稍微晚点，可打车前往，孔庙规模很大，最有看头，是重点，最好请个导游，了解文化…
                            
	                            
		                            "
千纸鹤0421,2021/4/19,4,景色不错，
320****636,2021/4/19,5,值得参观？
M29****8027,2021/4/19,4,孔子的影响非常深远，幽静有底蕴，孔林不必去了，当地姓孔的非常多，人也热情好客，菜量大总体超赞，
孔卡尔德李清照,2021/4/18,5,孔子儒家思想和文化影响流长百世，传遍五湖四海，学习孔圣人思想精髓，跟着讲解熟悉回忆历史故事，适合各个年龄段朋友，喜欢历史的朋友更值得一去。
yytk14,2021/4/18,4,总体来说可玩性一般，但是景色还是不错的，可以随便逛逛顺便科普下知识了解了解孔子。假期的时候人还是挺多的，也有很多导游揽活做讲解，可根据自己的情况选择。
三孔景区,2021/4/18,4,"2021年4月18日从泰安开车来曲阜
?停车：一定要导航“三孔景区停车场”，停车费10元，这个是正规的。
门票：孔庙80元，孔府60元，孔林10元，老年人免费，连票140元
区间车30元，当天无限次乘坐，还可以送到高铁站，还是很不错。
孔林电瓶车20元，老年人10元

孔庙，很大，逛的时间最长，上百年上千年的柏树，一定要请导游！100元/导游，租个耳机 10元（听得清楚，有一定距离也能听到）
孔府，很快就逛完了，后花园有三大奇观
孔林，孔家墓碑?，个人觉得可以不去，如果就是想去看看，那就逛逛吧，一道都是墓碑，柏树和紫色的小花，走半圈3km多，用时50分钟吧。
                            
	                            
		                            "
三孔景区,2021/4/18,5,"来山东怎么能不来孔子之乡呢
早晨从泰安做大巴过来，一个多小时的路程，下来又坐了几站公交方到景区。
三个景点连在一起，所以路线串联，一次就能逛完
孔庙，孔府，孔林。
感受了儒家文化发源，光是从里面千年古树都能看出历史文化的厚重感，不愧是万世师表
                            
	                            
		                            "
M61****920,2021/4/17,4,交通相对方便，景点还好。听听历史。
手牵手逛地球,2021/4/17,5,孔子故里，文化圣地，挺好的。自己逛，没有导游讲解，有点看不懂。&#x0A;孔子故里，文化圣地，挺好的。自己逛，没有导游讲解，有点看不懂。
三孔景区,2021/4/17,5,"#回忆帖#毕业之旅，来孔庙祈求个好成绩也是不错的一个选择。还是蛮**的，心想事成了！看得出世代帝皇对孔子的尊崇，历史悠久的三孔，景区内的林木非常的上年纪。山东区域内不多的五星级景点，游玩性一般，文化学习好去处！
                            
	                            
		                            "
昌图司马攸,2021/4/16,5,总体超赞，景色不错，有意义性价比高，
Gloria1103,2021/4/16,5,自驾去山东出差路过曲阜，跟着导航到停车场，但是从停车场到达景点大门的路途有点远，搭了一段三轮车。三轮车师傅很健谈，孔庙和孔府挨着，孔林需要开车再走一段路。孔庙规模宏大，历史悠久，孔府不愧是天下第一家，受到历代皇帝的重视和扩建。暑假可以带孩子好好再来学习下
龟速狂飙,2021/4/16,4,导游总是把我们朝购物的地方带。
三孔景区,2021/4/14,4,2000年儒家思想的起源，影响整个封建时代的历史，朝拜文化的圣地。
286****463,2021/4/13,5,性价比高，有趣好玩，景色不错，总体超赞，很有文化底蕴，很适合带孩子和喜欢历史的老人出行。出票很快，价格比景区买便宜，入园也很方便。????
三孔景区,2021/4/12,5,"有幸去山东学习了一下孔子文化，真的是一个有文化气息的城市，整个城市很简朴，当地的虫子菜和大白馒头特别让我记忆犹新，很有特色。穿上孔子学服饰，叩拜孔子像，读孔学，很有仪式感。受益匪浅。有机会下次还会再去的
                            
	                            
		                            "
M28****3405,2021/4/11,4,带孩子玩玩
放过自己吧,2021/4/11,4,这个三孔套票比单独购买孔府孔庙孔林门票便宜十块钱吧，喜欢历史文化的人到这里来参观一下，还是非常非常不错的，。
