user,time,score,comment
刘公岛,2021/5/4,1,景色一般，
刘公岛,2021/5/2,2,排队2个小时才上岛，并且观光车分四个路线，第一次去的压根不知道该买哪个。并且景区饮食太坑人，价格不说主要是食材不太新鲜
刘公岛,2021/5/2,2,急性子的人千万别来！！排队3小时还没上船！！各种插队！
遇见81,2021/4/28,4,刘公岛景色不错，可以坐船环岛游
瑰意琦行888,2021/4/27,4,值得一去，激发爱国热情。景色也很美！
_YX1****874,2021/4/27,5,景色不错，
_WeCh****275989,2021/4/27,5,11111
M32****280,2021/4/27,5,对孩子的爱国主义教育，是个很不错的地方，另外也有少量动物，孩子很喜欢。麋鹿那里可以近距离看到
M27****4145,2021/4/26,5,总体超赞，
M32****8976,2021/4/26,5,景色不错，总体超赞，
_WeCh****52860,2021/4/26,5,中日甲午海战，初中历史课本上的内容，到博物馆看了看感受颇深，具有很深的教育意义。&#x0A;岛上风景很美，可以乘坐观光车游览全景，里面还有两只大熊猫吃竹子的样子真的是可爱到爆，总体来说非常不错，来威海必去的地方。有趣好玩，景色不错，总体超赞，性价比高，
131****7627,2021/4/26,5,嗯(*??╰╯`?)?不错，有历史意义，又有海，景色也很好，值得一去
敏敏小可爱啊,2021/4/25,5,不错，甲午中日战争
串本町余樊君,2021/4/24,5,性价比高，
_WB5****691,2021/4/24,5,挺好不错！
_WeCh****051661,2021/4/24,5,景色不错，总体超赞，
zjwzym,2021/4/23,5,威海刘公岛景区是一座五Ａ级景区。是清朝末年北洋水师的所在地。
Marry_1,2021/4/22,5,景色很美，又可了解历史，值得一游。
M58****259,2021/4/22,5,值得一去，干净整洁
瑞雪-兆丰年,2021/4/22,5,空气清新，环境优美。
118****527,2021/4/21,5,刘公岛不仅是爱国主义教育基地，也是一座繁花似锦，景观漂亮，真正“面朝大海，春暖花开”的旅游胜地。&#x0A;我喜欢整个威海市。漂亮、整洁、天蓝海碧、空气清新。走遍威海，每条道路都保持了高水准。
M28****3518,2021/4/20,5,旅游可选择此地
M22****304,2021/4/20,5,景色不错，定远舰和潜艇让人印象深刻，岛上??开的很美，种类很多，公厕超多，停车场超大，船程14分钟，甲午博物馆教育基地，值得一去
