user,time,score,comment
qxml,2021/4/27,5,总体超赞，
e09****32,2021/4/23,5,很好玩，空气很和。
爱狗的小埋,2021/4/20,4,还行吧总体来说
王*,2021/4/18,5,挺好的
M22****4612,2021/4/17,5,来之前翻了很多评论，甚至威海本地的朋友都不太建议我来。。但是因为在威海最后一天，是在没地方去，就合计过来看看。。概述一下吧，如果是奔着照相来的，那可真是个好地方，一步一景，站在一个地方不动，随便转一个方向就是一个景色。尤其建议买个组合票，走一下玻璃栈桥！可以俯瞰整个景区的景色。。带孩子的话，景区里有一些免费的娱乐项目，滑梯小桥什么的，也有收费的滑梯，总的来说娱乐设施还不错。。但是带老人的话走起来可能会有些累。。我们没买游览车票，一路走走停停，连观赏带照相，大概用了三个多小时。。景色不错，总体超赞，
si****6,2021/4/13,4,19年去的，那时还没完全造好。玩的东西挺多的，表演不错。
zane76,2021/4/13,3,搞不懂4A景区是怎么来的。确实不值
威海华夏城景区,2021/4/13,4,"冬天免门票的时候去玩的，现在已经恢复门票了。之前看神游华夏传奇的表演晚上进去过，白天的感觉不一样。之前是矿区，改造的，变废为宝啦。绿化很不错，有山有水的。在民俗馆拍了不少照片，旁边一个参观的姐姐说他们家有一模一样的虎头鞋。国防教育基地值得看看。玻璃栈桥也有好多人上。
                            
	                            
		                            "
威海华夏城景区,2021/4/12,5,"第一次过来玩，还赶上了下雨天，别人都穿的羽绒服，我穿的薄外套，快把我冻死了，但为了玩也是豁出去了，这里面很大，为了暖和了，我们是多活动活动，走进去的，还算可以，一天就玩这一个地方，因为天冷的原因，人不是很多，但看到里面有不少玩的地方，能体验的都体验了，但那个步步惊心是没勇气上了，总体感觉还不错，玩的很开心，不一样的体验
                            
	                            
		                            "
Mad.Men,2021/4/10,5,总体超赞，
威海华夏城景区,2021/4/10,5,"散步游玩一体打卡地
  有山??有水 
高空索道：70一位/哇塞真的是超级爽啊
带着小朋友的可以玩一些秋千、索道、滑梯，彩虹滑道"
威海华夏城景区,2021/4/9,5,"华夏城景区做为一个5A级的景区，东临大海，西枕龙山，有他独特的可观性！佛韵山水，如意东方。景区内部不断的升级改造，一步一步的完善，致力打造一处新型的生态旅游度假圣地！景区里面景点古典与现代结合，自然与科技融为一体，各种画面美不胜收！
                            
	                            
		                            "
尘封-,2021/4/5,1,真是没劲透了
威海华夏城景区,2021/4/5,4,"70大洋包含大门票?玻璃栈桥，景区有电瓶车30一个人，感觉还是蛮需要的，节省体力，总共5站，每站都需要检查车票。第一站儿童乐园+民族蜡像村、第二站玻璃栈桥，走到中间的地方会有2块玻璃裂掉发出声音声音我，笑死我了，好多人过不去这块、第三站还是儿童玩的设施、第四站推荐 有几大块玩乐设施可以在买大门票的时候另加购18元换4个项目，我下午去的有点冷所以没有换，下次可以试试，这站拍照很好看哦，还有小动物、第五站就是到大门口咯
                            
	                            
		                            "
威海华夏城景区,2021/4/5,4,"当地的5A级景区，目前还在造新的场馆…基本游玩1个半小时差不多，也有景区车可以乘坐，30元一个人，随便坐…主要分4个区域…玻璃栈桥还是很错的…其他主要都是看看风景…夏天来的话一定很漂亮…有一座山头全部都是花…等盛开的时候肯定很漂亮…园区中心的湖也很大，有一些水上游玩项目，适合带小孩子来玩…
                            
	                            
		                            "
威海华夏城景区,2021/4/5,4,"打卡威海华夏城～
好像算在市区里吧，过来不算远
开车也有停车场，免费的哦(?-ω-`)
就是周边还在建设装修
有点脏～风一吹，全是土
带着口罩也能感受到满脸的沙子
希望下次赖玩，都能修剪好
好好感受下这个景区～
威海的天空好蓝(?▽?)
                            
	                            
		                            "
小超人10,2021/4/4,5,不错不错！
叶衬,2021/4/4,3,由于刘公岛天气原因去不成，找了它做替代景区。华夏城竟然是一个5A景区，实在让人难以置信，性价比极低，可能是在威海当地没有什么竞争对手吧
威海华夏城景区,2021/4/4,4,"去的那天风巨大，没有多少人，下着大雨，玻璃栈道没人走，就我和我对象，风吹的桥呜呜的晃，我俩吓的都快跪了，那大风就差点要把我俩吹跑了，跟世界末日一样，又下雨，又刮风，这种情况就不要开了，真是难忘的回忆。PS.风太大把指示牌全吹倒了，我俩走了三次冤枉路，无任何指示。
                            
	                            
		                            "
爱生活爱雪纳,2021/4/3,5,总体超赞，性价比高，景色不错，有趣好玩，适合夏季游玩，环境好好玩的也多
M42****7525,2021/4/3,5,能把废弃矿坑弄成这样还是挺有意思的
_WeCh****46859,2021/3/28,2,"我就纳闷了，，这地方怎么评上的5A,？"
M29****593,2021/3/26,5,非常好。值得去。儿子完的很好
威海华夏城景区,2021/3/24,4,过年回威海看老父亲和哥哥，大年初二，天气格外好，一家人出去走走，挺好，祝老父亲身体健康，家人一切平安。
M74****59,2021/3/19,5,不错，不错，
依依麻麻呀,2021/3/15,5,说实话挺好的。里面游玩项目挺多的。这东西出去玩就看你怎么看待消费得问题。我是觉得挺不错的反正。里面有免费项目。也有自费项目。反正自由选择。可以根据自己得情况决定。强烈建议坐观光车。30元一位。每一个站点都会停。并且循环发车。玩完了就可以坐车继续出发。
M32****100,2021/3/13,3,可玩性低，&#x0A;没啥太多玩会，性价比极低，5a不知道怎么评上的
沉默mxh,2021/3/12,4,景色不错，
威海华夏城景区,2021/3/9,5,"非常非常大，路面平整干净，儿童推车无障碍～适合全家人游玩～
水上喷泉非常震撼，简直洗涤我的心灵～菩萨保佑
各个场馆都不错，带着娃春亭就没去，队友飞奔上瞄了一眼～爬山人的乐趣
白天逛完就走了，夜景应该也很不错，有机会再去～
                            
	                            
		                            "
威海华夏城景区,2021/3/8,5,"趁着免费的尾巴根，又来华夏城玩了，希望以后每年都有这样的优惠月，真正的福利到市民。华夏城去年又建设了不少的景点和游乐设施，更偏向于年轻人的喜好，还有玻璃桥，太刺激了感觉，可以体验试试。来华夏城可以自驾，也可以坐公交，35、49、50路都到。
                            
	                            
		                            "
M43****137,2021/3/7,5,景色不错，有趣好玩，性价比高，总体超赞，
威海华夏城景区,2021/3/7,5,"门票免费，不过里边玩的项目不是免费，玻璃栈道不太建议去，性价比不高没有挑战性。里边很大，我们从9点逛到了下午1点，挺累的，一定要穿舒服的鞋，有很多好玩的，很适合小孩儿玩，里边卖吃的不算很多，可以游半天然后出去吃饭。
                            
	                            
		                            "
威海华夏城景区,2021/3/6,5,"华夏城
威海市区的人文景区
白天去的，没有看到水上的那个演出
有点遗憾
去的时候小朋友还没到儿童票的身高
在售票口给他买个保险就进来了
里面真的很大
那会儿十月的天气还是很不错的
之后夏天去威海，没再去过，想想都会很热
这个景区非常适合全家人
全家老少都能想到喜欢的景观。
                            
	                            
		                            "
威海华夏城景区,2021/3/5,5,"交通：
自驾过去的   带爸妈去华夏城溜达

推荐理由：
夏天是最好的季节，冬天去觉得太冷清了  三个人包场了  
冬天去有一点不好的是 没有电瓶车  给我走的太累了  腰疼脚疼的   
可以一起和父母溜达的好去处   但是一定要做好保暖措施啊  尤其是冬天
                            
	                            
		                            "
D12****014,2021/3/4,5,有趣好玩，
威海华夏城景区,2021/3/4,4,"感谢威海市的好政策，感谢众多景区慷慨解囊。2月28日前免门票，赶着最后的时刻打卡了华夏城景区，那人多的，停车排了好久的队，最后下车一看，只让出不让进，每辆车扫码收费。据说景区免门票前停车不收费。景区外面正在建设，工地暴土扬尘，地上路也有很多泥。表演项目是每年4-10月，里面都在修缮。免票来逛逛还可以，收费目前真不值。
                            
	                            
		                            "
威海华夏城景区,2021/3/2,3,"华夏城可能是最近玩过的景区中最没大有意思的。也不知道它主要的玩儿点在哪儿？
就那个之前广泛广告的5D玻璃桥，要七十块钱，还没彩虹滑道好玩儿。彩虹滑道一趟25元，也不长，嗖地一下25块钱就没有了
还有划船那个地方服务完全跟不上，他们很忙乱，人一多就不知道该谁上船该谁下船了
                            
	                            
		                            "
音沐海,2021/2/28,5,比景区便宜，值得购买。
威海华夏城景区,2021/2/28,5,"公车直达，之后再走进来也不近，现在淡季门票免费非常不错，进去比我想象中太好了，小桥流水小路瀑布景观好而且非常大，必须是能走的壮年，全走完至少俩小时，现在还好多娱乐设施没开，累的回家躺了两天没起来。玻璃栈道不让上还在修，船上什么应该有表演也没开，民俗馆和航空馆挺不错的，花了不少心思，挺好的，总体而言非常不错，夏天还要去，景色应该更美。
                            
	                            
		                            "
威海华夏城景区,2021/2/26,5,"免费游玩也太香了，还有两天免费的活动就要结束了，想来玩的朋友们要抓紧了。华夏城虽然是人造的，但景点还是挺漂亮的，建筑很有特色，一座座大牌坊，很是壮观。华夏城也是5A景区，包括了华夏城、海底世界和大型文艺演出神游华夏。
                            
	                            
		                            "
M42****188,2021/2/24,5,还是比较值得去的
威海华夏城景区,2021/2/22,5,"中国生态环保第一城，作为威海第二家AAAAA景区，名气很大，在废弃矿山上建造的大型景区，很有环保的意识，景区内娱乐休闲场所很多，适合游玩，景色优美，文化底蕴深厚，石刻艺术很赞，还有玻璃栈道，惊险刺激，很多人慕名而来
                            
	                            
		                            "
yoyolove7788,2021/2/21,5,如果有机会再去威海自由行，如果带上我的家里人或者朋友&#x20;我觉得我还会再去我威海华夏城玩的&#x20;把这个地方建造的这么好已经不容易。虽然门票和一些游乐项目定价实在太贵&#x20;但是看在建造的这么好，风景有那么美的份上，还是愿意花这个钱的
M43****2773,2021/2/21,5,趁着年假，带老婆孩子出门春游！从烟台开车去的全程高速大约1小时！挺好的孩子玩的不亦乐乎！！！！！！！！！！！！！！！！！
威海华夏城景区,2021/2/21,5,交通简直太方便了，玻璃桥直接大门进去就是。亲子活动在大门右侧，各种好玩的，还有海洋世界
威海华夏城景区,2021/2/19,5,"不愧是5A级景区 值得游玩！免费期间来的，游客非常多，胶东民俗馆、火车餐厅的鸽子、彩虹滑道、高空玻璃栈道、老寿星、儿童乐园、禹王宫，人民防空教育基地，设计的合理好看。虽然部分没有开放，但是一上午游览下来体验还是很不错的！
                            
	                            
		                            "
威海华夏城景区,2021/2/19,3,"因为之前就是矿山，所以所有的建筑都是新修新建的，人工痕迹太多了。树也是后植的，没有原始山林的意趣。不少之前的矿坑改成了湖和水库。儿童游乐设施还是不错的，挺多。里面卖东西的很少。还算是休闲登高望远的好去处吧。
                            
	                            
		                            "
M41****4639,2021/2/16,1,好多景点都不开放
威海华夏城景区,2021/2/16,1,说是免费门票其实是骗人的强制消费，绑定玻璃栈桥，如果不买玻璃栈桥根本不让进，和门票绑定说，欺骗小费者
菜籽没油,2021/2/15,5,很不错的景区，有海洋馆还有各种景点、娱乐和演绎，特别适合带着孩子亲子游，推荐给大家
雪橇人-风,2021/2/14,3,自然景观，一般，爬山，很累，建设中。
威海华夏城景区,2021/2/14,5,"交通蛮便利，从威高广场坐49/50路公交车直达终点站华夏城景区，下车就能看到特别醒目的华夏城三个字的牌坊，景区大门挺大气的，因为冬季免门票，所以直接扫描二维码0元购票，出示健康码即可入园，顺山势往上走会有人工湖，民俗文化馆，书法谷，高空玻璃栈桥等景点，高空玻璃栈桥是单独收费的哦！还有禹王宫，防空展览馆等景点，景区内绿植不少，夏天应该是个爬山游玩的好去处，值得去看看！
                            
	                            
		                            "
M42****6283,2021/2/13,2,性价比低，可玩性低，
M43****1141,2021/2/12,5,很棒的体验感
威海华夏城景区,2021/2/12,4,"这段期间门票是免费的
抓住年前的尾巴来景区打卡一波
入口实在不好找 步行了好久才随着人流找到上山的路
很多地方都在建 大家可以先来逛逛
tips：建议多人游玩 可以一人预约多人门票 景区里面很大 需要走好久
一个人实在没有兴致逛 很多景点都没去看
公交路线：92路或者35南线/北线 
目的地站点：夏家疃
自驾游线路：驾车走华夏路就到了
注意??导航的目的地和实际稍微有差别 我这边都是按比较近的路线推荐大家
                            
	                            
		                            "
威海华夏城景区,2021/2/9,5,"威海华夏城，从2020年12月到21年2月免费。门口扫健康码进入。景区看着比较大，但基本没有浪费的空间。有个地下防空洞比较有意义，介绍一些威海抗日英雄，模拟的防空警报。入口处的一排楼还以为只是仿江南的建筑，实际上里面是蜡像馆，介绍胶东民俗，很有意思。景区里面的太平禅寺疫情原因没有开门，玻璃栈道要额外买票。总的来说，即便买票也很值得，挺有意思的，当然，夏天来更好了。
                            
	                            
		                            "
威海华夏城景区,2021/2/8,5,"从仙姑顶到华夏城，十分钟左右车程，很近～
文化民宿馆里有蜡像和很多旧时代的展品，很逼真也切实感受到了老时代的气息。
上面有玻璃栈桥、彩虹滑道、步步惊心、滑梯等多个娱乐项目，可以玩至少三个小时
还有印象很深的矿山小寨！很美啦！
                            
	                            
		                            "
簋鱼,2021/2/6,5,威海一座浪漫而又温馨的城市，这里不仅可以感受到山东半岛独特的美景，也可以品尝到地道的成都美食来段威海不得不去威海华夏城转一转，白天看威海独特的美丽风光，晚上看一次大型的时间，演出当真也是一次不错的选择。
威海华夏城景区,2021/2/6,5,"趁着这段时间免门票，去华夏城拍点照这是一个5A景区，我们在微信公众号预约好就出发了。景区算是一座小山吧，入口是山脚，然后往上走。下了几天雪，华夏城里面白茫茫的一片，结冰的湖面上也盖了一层白雪，配上蓝天白云，真有一种云顶天宫的感觉！里面是古风建筑，很适合穿汉服拍照。
景区四点半停止进场，五点闭园，大家记得早点去哦！
                            
	                            
		                            "
威海华夏城景区,2021/2/4,5,"冬天的华夏城，景色也很不错！人少又安静，哪哪都不用排队，也不用避开人群，有种承包了整个景区的感觉！儿童游乐区，小朋友还是很多的，玩的项目很多，而且还免费，真心不错。华夏城给力呀，一直到2月底前都是免费的，过年7天除外哦，大家可以错开时间去玩呀。
                            
	                            
		                            "
菜籽没油,2021/2/3,5,华夏城的海洋馆还是比较好的，最喜欢的是海豚表演，真的是很聪明的动物
威海华夏城景区,2021/1/30,1,"极差的体验！！！极其不推荐！！！
一个人造的景点，以前这里是一片矿山，很多的地方还在施工没有完全建成。
每一个景点之间的路程都非常远，如果不坐观光车走路的话要走很长一段距离。门票要80元价格不算便宜，都是人为打造的假山，假水，假船。感觉除了山顶上养了几条小鹿小猪看看，还有民俗文化馆里有些民俗生活介绍有看头外就没了。很多项目都是要钱的，玻璃桥也很贵，现在各个地方都有玻璃桥，而且不便宜。关键真没什么好玩的，来过大呼上当！
                            
	                            
		                            "
威海华夏城景区,2021/1/30,5,"华夏城等景区到2月底之前都是免费的，周末有时间来逛逛。天气比较冷，来逛的游客不多，显得很安静，拍照都不用避开人群了，真好！玻璃栈道暂时关闭了，上面有工作人员在做维护工作，这么冷的天，着实不容易呀。景区很不错，不愧于5A呀！
                            
	                            
		                            "
大胖孩儿,2021/1/27,4,现在免大门票。里边有另外收费的项目，人造景点
yoyolove7788,2021/1/22,5,威海的华夏城是真的很不错的景点，5A级景区。&#x0A;&#x20;&#x20;&#x20;&#x20;门票80大洋我可以接受，游览车30大洋我可以接受，但是其他项目不停收费就让我有点觉得不可思议了。&#x0A;&#x20;&#x20;&#x20;&#x20;玩一圈下来一人四五百这就夸张了，或者你出个连门票的套票也行啊。
285****248,2021/1/22,5,不错不错好
菜籽没油,2021/1/17,5,重建后去过一次，人不多，很多设施没有开，神游华夏节目也停了，不过带着孩子还是玩的很开心，特别是玻璃栈道，简直吓坏一群人
m41****88,2021/1/10,5,最大的看点是中国跨度最大的牌楼——华夏第一牌、圣水观音、太平禅寺。
威海华夏城景区,2021/1/4,5,"上周休息去了威海华夏城转了转，正好赶上威海景区免费，还是挺好的。以前没来过，来到才知道这是由一个一个矿坑改造成的一个生态环境景观。对比过去和现在来看，十几年的努力，还是很值得的，冬天的景色肯定没有夏天那么美，但是还有很多值得去看的地方，比如走进未来战争，在里面可以了解世界和中国的防空史，是个接受爱国主义教育的好地方。
                            
	                            
		                            "
威海华夏城景区,2021/1/4,5,"趁着元旦的好天气，去了趟华夏城，爬了个山，刚下完雪的风景，美到极致了，随便一拍就是一副背景图片。不过因为积雪比较厚，所以有一些景点关闭了，等雪化了再去吧
之前办的年卡，所以终于免费登上了栈道，第一次上的时候，确实有点吓人，不敢挪步，后来发现，只要不看脚下，其实也没那么恐怖，但是如果有风吹过，栈道会有晃动感，建议大家可以去体验一下。
彩虹滑道因为雪没有开，所以远远的拍了个照片，哈哈……下次再来吧
                            
	                            
		                            "
威海华夏城景区,2020/12/29,3,"“威海华夏城景区，中国生态环保第一城，是华夏文旅集团从2003年伊始历经10余年修复威海龙山的44处矿坑，将环境治理与旅游开发相结合的重要成果，历经“愚公移山”、“凤凰涅槃”式的艰苦卓绝。现建成于各个采石场上的景点各具特色，有最全面展示尧舜禹时期历史文化的禹王宫，集中展示胶东民俗特色的夏园；有在矿坑里打造的地下工程——威海人民防空教育馆，矿坑上面覆土绿化，矿坑下面游客参观；有依照矿坑地势而建的中国跨度最大的华夏第一牌楼、世界独一无二的三面圣水观音以及杂技、马术等丰富多彩的传统演出。 其中在矿坑里打造的会跑的实景演艺——《神游传奇》秀开创了自然景观与人文景观相结合的实景演艺先河，观众乘坐会跑的移动式看台可以欣赏到水、陆、空全方位的跨时空精彩演艺……”

以上内容来自度娘！借着免费的冬风 薅个羊毛 这地界儿 号称国家5a级景区 ……反正让我自己掏钱来 血亏的赶脚啊
不用身份证 不查健康码 不测量体温 大门口处有工作人员协助手机扫二维码 免费入园游览 一个手机二维码可以带5人入园
                            
	                            
		                            "
我想吃螺蛳粉i,2020/12/23,4,五A级景区?&#x20;非常不错！就彩虹滑滑梯那个工作人员真的是?&#x20;体验一般！真的是游玩五分钟?&#x20;走路两小时
威海华夏城景区,2020/12/20,5,"雪后的周末来华夏城看看，可见度极高，空气清新，游客不多不少，景区服务人员都齐全，需要拾级而上的景点因为安全考虑没有开放，其余也足够逛两三个小时的。我喜欢的是民俗馆和人防洞。这个天去别有一番滋味，只要你穿得保暖。
                            
	                            
		                            "
M40****651,2020/12/18,2,可玩性低，性价比低，景色一般，
E49****99,2020/12/15,5,环境清新怡然的威海，华夏城感受史剧场景。
