user,time,score,comment
烟台南山旅游景区,2021/4/30,5,"福如东海，寿比南山！
吉祥如意平安幸福的龙口第一山！
公交车不太多，从市区过去只能打车，还好能直抵景区大门口。
大门修的高端大气！端庄优雅！
景区内风景秀丽，绿化覆盖率很高。自然景观和人文景观交相辉映，蔚为壮观！
庄严肃穆的诚心礼佛，祝福大家平安健康！如意吉祥！
                            
	                            
		                            "
四处游走的风,2021/4/27,5,主要是爬上去绕着大佛转三圈，许个愿就下来了，其他没啥看头。
烟台南山旅游景区,2021/4/27,5,"从青岛自驾过去的，两个小时车程，正赶上庙会，但是感觉庙会好像是分散开的也不知道是我们没找准地方，感觉还没有糖球会好，就门口一点卖吃的，有一家酸辣粉还特别难吃，没几个表演节目的，感觉很一般
     再就是那个观光车，不想吐槽，排队的人真的是多到令人窒息，在人群中听到一个人说在那拍了一个半小时还坐上车，感觉需要进一步改进
                            
	                            
		                            "
M59****290,2021/4/19,5,总体超赞，景色不错，
M20****901,2021/4/17,5,还不错吧美人
M42****929,2021/4/16,5,总体超赞，景色不错，
烟台南山旅游景区,2021/4/14,5,"清明节的时候跟朋友一块出去踏青，选了选去最后决定去看南山大佛，哈哈 (ps:感觉适合带着父母辈的来，他们更喜欢烧香拜佛)

南山旅游景区是5A级的，依山傍海，空气清新，绿树成荫，最重要的是佛光普照！！
南山大佛，南山药师玉佛，历史文化园，观音水洞，古长城，寿星殿等等，园区内景点挺多的

因为时间关系我们只逛了南大大佛，长城和药师玉佛，很后悔一进园区没有买往返的观光车票，再来的小伙伴一定得买这个票！！25元 观光车拉着可以随时停车游览再乘坐下一趟车。挺合适的。不买的话，一天都逛不完的
自驾游比较方便可以到处逛逛，门票115RMB 跟团的话青岛这边的国旅也就一百多点， 大巴车来回，也挺合适的，大家可以看自己怎么方便。
                            
	                            
		                            "
烟台南山旅游景区,2021/4/13,4,后期建筑，新的建筑，没有文化底蕴。但是看着比较宏伟壮观。确实可以让人心经
烟台南山旅游景区,2021/4/9,5,"只参观了南山大佛一个景点，烧了香。
烧香的阿姨嘱咐我，信男人的话，母猪都会上树了。还说要管好兜里的钱。"
_WeCh****976425,2021/4/7,5,景色不错，总体超赞，性价比高，有趣好玩，
箐雅如兰,2021/4/6,5,总体超赞，
烟台南山旅游景区,2021/4/6,4,"清明节来了龙口带孩子看看大佛，地方挺大，不过票也不便宜，电瓶车25元是很有必要买的，孩子1.1以上电瓶车要交费，不买电瓶车带着孩子走会很累，里面有卖吃的，所以不用担心饿，就是不知道为什么去了一趟回来孩子晚上就吐了，第二天还发烧，也没吃什么，不知道什么原因，很郁闷。
                            
	                            
		                            "
M46****4582,2021/4/5,5,值得去看，毕竟我们是去给亲人祈福的，高大上，很干净，不累人，很好找，每个景点都不一样，干净卫生，给人感觉很舒服，不用做电车
烟台南山旅游景区,2021/4/3,5,"“福寿南山，祈福圣地”，说的是位于山东烟台龙口黄县城南的南山旅游景区，是国家5A旅游景区，相传晋代卢童子学道于此升仙，南山古称卢山，即成为道教名山，山中寺观林立，有神仙宅之誉。南山大佛高38.66米，重380吨，锡青铜铸造，由232件佛体，108块莲花瓣，共642块锡青铜铸件组合而成。南山旅游景区票价成年人是120元，进了园区有观光车，车票25元，可游览南山禅寺~南山大佛~华严世界~春秋园~财神庙~玉佛殿等，然后再给送到景区正门上车处，服务人员的态度也很好，都很热情，景区的卫生打扫的很干净，有时间您可以过来游览一下。
                            
	                            
		                            "
烟台南山旅游景区,2021/4/1,5,"南山大佛久仰大名。来龙口出差，特意来南山大佛拜一拜，祈福自己以后越来越幸运。南山大佛是南山集团开发大造的一个旅游景区。建设在龙口南山上。景区面积很大，徒步旅游还是很累的。建议购买观光车。470个台阶，80米，爬上去，一定要拜拜佛。这里风景绝佳。时间充足的话，可以往民俗园走走。
                            
	                            
		                            "
jj@bo-小宝儿,2021/3/31,5,景区很大，主要以观赏为主，娱乐性项目没有，南山大佛还是值得爬上去看一看的。
寒江钓雪,2021/3/30,5,这个地方好啊，捎东西最大的金佛，南山集团是龙口市第一大企业，南山环境优美，竹林深幽，可以带孩子休闲娱乐，又可以带情侣旅游浪漫。
烟台南山旅游景区,2021/3/30,5,"年年有风 风吹年年 慢慢即漫漫
日日无事 事复日日 忙忙亦茫茫
日日升日 日落日日 旧旧亦久久
岁岁落幕 暮坠轮轮 暮暮即慕慕
朝朝辞暮 尔尔辞晚 碎碎念安安


前段时间去拜了拜
南海观音 南山大佛 都拜过了
今年确实是个丰收年 
感恩一切都好 越来越好
                            
	                            
		                            "
M21****666,2021/3/27,4,景区指示牌少了点景色不错，
320****187,2021/3/23,4,整体评论很好，出了点小插曲，游览车去时站点随时停，回城站点不停，让自己走回去，只能从终点到七点，（票上写的随时停）
