user,time,score,comment
台儿庄古城,2021/4/29,1分 不佳,"必须差评，160元的门票，旅游体验极差，有种店大欺客的感觉。
因为看到大家的评论，所以自驾车直接导航到东门，结果东门的停车场施工不能使用，一号不能用，二号也不能用。无奈之下给酒店打电话，酒店说位于古城的中间，从哪个门进来都可以。所以我们又开车去西门。西门停车场明明是有空位，但保安不让却进停车场，问我预订的酒店名字，非说离东门近，让我必须走东门。我说已经问过酒店了，可以走这边，但是保安拒绝我进入西门停车场。没有办法，只能再次转圈到东门。

在距东门一里地外找到停车，从停车到进公园门，最后到酒店，至少要拖着行李走40分钟以上。古城里面的石板路面，是经过人工故意做旧，凿成坑坑洼洼的路面，箱子根本拖不动，很费劲。而且要过大大小小很多座桥??
虽然酒店说离门口不到十分钟，那可能是空手步行。拖着行李箱不停的上桥下桥，就像逃难一样。
任何一个5a景点都有摆渡车可以使用的。但是这里没有这种服务。只有一种电瓶车必须包车使用，不能拼车，80元到闸机，另外到大门广场停车场多一半的路程，都需要自己拖着行李逃难。估计到家后行李箱也被颠报废了。"
台儿庄古城,2021/4/29,1分 不佳,就是一个购物广场，还得花门票进去买东西那种购物广场，没啥好看的！可玩性低，
_WeCh****114986,2021/4/28,4,景色不错，
mengfei萌妃,2021/4/28,5,就是不能带狗狗很可惜景色不错，
dream .,2021/4/28,5,景色不错，
梦随意动,2021/4/27,5,古城完美的重建了以往被毁坏的房屋风貌，以及还能看到少量的历史遗迹，现虽已完全商业化，但还可看到幸存的具有教育意义的文物或古迹，晚上还有一场入选世遗的“打铁花”表演，另外，最受欢迎的是古城美食餐馆了，在城里就能品尝到当地各式各样的别具特色美食了
M23****5374,2021/4/27,5,景色不错，有趣好玩，总体超赞，
203****660,2021/4/27,5,住过两次了，很好
风恋,2021/4/27,5,古城夜景特别好看值得盆友门游玩总体超赞，景色不错，
M23****8273,2021/4/27,5,总体超赞，景色不错，
M45****996,2021/4/26,5,晚上景色不错、人也很多，
威武小海,2021/4/26,4,不错性价比高，
M41****7731,2021/4/26,5,总体超赞，
106445,2021/4/26,5,很好。夜景漂亮。门票三天有效很方便进出。有时间还可以周边玩耍，非常nice。
nig****99,2021/4/25,5,整体来说还是不错的，景区里面的物价和外边差别不大，景区自营的酒店品质和管理非常好，有机会还回去！
Ms.牛ゞ,2021/4/25,5,有趣好玩，景色不错，
浅蓝色闪电,2021/4/25,5,美丽台儿庄，去过最美的古城，没有之一。
Encoreing,2021/4/25,5,夜景值得一看，非常漂亮，尤其是临近复兴广场的那条街，很有复古的感觉，就是古城内桥下的水有点味道
M22****0440,2021/4/25,4,值得一去，非常有氛围
台儿庄古城,2021/4/25,1分 不佳,真的是绝了，两个人花了300多白天进去啥也没有表演也没有，只能等晚上，结果晚上下雨了啥也没有了玩不了，站在景区干瞪眼，景区一点也不人性化，赚了钱就不退了，这根本就是侵犯了消费者权利，大老远来了加上油1000块钱，结果啥也不能玩，也不给退票，还说三天有效期，谁能在一个景区里等三天，哪怕退百分之多少也算人性吧，还说我们不看天气，现在有很多时候天气预报是不准确的好吗，再也不会来了，真的特别无趣，如果说看看景区里的景就要160块钱，我不如去逛公园了，有待改进，性价比低，可玩性低，根据实际感受平价，160进去看看房子看看花
东兴伍子胥,2021/4/24,5,门票虽然不便宜，但是值得一去，投资非常大，项目多，商业化做得很好，
_WeCh****978941,2021/4/24,5,这个古城是我玩过最满意的，最不想离开的一个古城了，晚上夜景特别美，带孩子开玩了3次，3月底的时候还来过一次，那时候的灯五颜六色的，孩子特别的喜欢，都不想走了，我们在里面住了3天，后来4月底又来了次，这次的灯不如3月低，没有五颜六色那么多灯了，光是大红灯楼那样的灯，孩子比较失望，有点太暗了，没有带颜色的灯了，孩子也不太喜欢玩了
串本町余樊君,2021/4/24,5,性价比高，
M46****956,2021/4/24,5,景色不错，环境不错，下次还来。
一日竹,2021/4/24,5,非常值得一去。提前一天订票有优惠，否则就160元&#x2F;人，本地人和周边附近地区的居民凭身份证40元，票可以3天多次进出。景区白天和晚上景色不同，各有特色，最好中午到，看看白天的景色，拍拍照，等天黑了，灯光全开，看看夜景灯光秀和表演，愿意的话可以定景区内的酒店住，也可以定景区外的酒店，第二天可以继续进园，我认为玩半天加一晚就够了。
奥法伦要离,2021/4/24,5,景色宜人，很美丽，环境不错，值得推荐。欢迎光临！
300****401,2021/4/24,4,经典不错，但外围环境差。
M43****2092,2021/4/24,5,古城挺大的，节目也挺多，夜景很好看，摇撸船的小姐姐唱歌好好听
_WeCh****917091,2021/4/23,4,还可以吧，就是门票太贵了。
汽车时代,2021/4/23,5,美丽漂亮干净
_M13****6191,2021/4/23,4,带父母过来玩儿?景色不错，尤其是晚上的夜景&#x20;不比江南水乡差&#x20;最好看的打铁花非常壮观&#x20;值得一来
103****618,2021/4/23,5,疫情期间去的，人少舒服，门票偏贵。
M43****459,2021/4/23,4,夜景美，人不少。
m41****4302,2021/4/23,5,景色很不错哦，主要的是在里面住宿官邸酒店的夏夏小美女非常暖心哦????????
奔跑中的猪,2021/4/23,5,夜景很美，晚上可以出来走一走。
52pamela,2021/4/23,4,适合周末两天一夜的临近出游
つ：吴先苼。,2021/4/22,5,真的很一般。
浪浪王大爷,2021/4/22,4,总体超赞，有趣好玩，景色不错，性价比高，好好玩不错
坏人宁粑粑,2021/4/22,5,带着家人一起去的，玩的非常尽兴，夜景太美了。
yaoweid888,2021/4/22,5,第一次去玩，慕名而去，本以为是红色教育基地，但更多的都已是商业化了，台儿庄保卫战遗址就一点点，参观的人很少。160元的门票真心不便宜，进去了还是吃喝玩乐住都要消费的，要不是团队多估计不会有那么多人去的，不过晚上的表演还是挺精彩的。
M26****1805,2021/4/22,5,有趣好玩，值得去的好地方好评
波澜随心,2021/4/22,5,一座年轻活力有朝气的古城，展现了不一样的古城味道，堪称新时代的不夜城，白天的古城静谧，夜晚的古城活力，居家旅行首选之地。
152****6208,2021/4/22,5,特价买的年卡，很合适，古色古香的小镇，有很多演出，适合带着家人住下来，慢慢玩。&#x0A;节假日的时候有很多演出，平时也有一些当地的演出，就是听不太懂哈哈
M33****985,2021/4/21,5,总体超赞，景色不错，有趣好玩，
