user,time,score,comment
大明湖,2021/5/4,1,今天去大明湖景区游玩儿啦！虽然大门免费，但是坐船之类的单个游玩项目非常贵
趵突泉景区,2021/5/1,1分 不佳,上面显示20元1张，结果付款的时候是40元1张
大明湖,2021/5/1,1,现在免费了，最近五一假期期间还有灯光秀，跟漂亮
听风细雨中,2021/4/30,5,岸上柳如烟。池塘鱼戏水，莲叶何田田远望高阁楼台，山水一色
玥亮,2021/4/29,5,这里值得去，挺美丽的风景。不错。
philiplatour,2021/4/29,5,可能大家都对济南的趵突泉有印象，其实这个黑虎泉也很有名，也很受当地人喜爱，值得去逛逛去
M36****5756,2021/4/28,5,非常喜欢这里的公园，景色很美，很漂亮哦。
_M13****0317,2021/4/28,5,这里的风景真好看很漂亮哦！非常喜欢这里
M47****280,2021/4/28,5,免门票，感觉比趵突泉好玩，人少。很多本地人都到这里接泉水。
D32****793,2021/4/27,5,人很多，泉很小
小舍儿,2021/4/27,5,开放公园，挺漂亮，靠近解放阁。
草叶飘飞,2021/4/26,5,景区东门对面是泉城广场，由东门进入，右行，先经过漱玉泉，而后是李清照纪念馆，再然后就到了趵突泉，三只泉眼咕嘟咕嘟冒不停，还有万竹园，登州泉等泉，泉水清澈，鱼儿??畅游，如果不赶时间，可在趵突泉旁的茶馆喝喝茶，悠闲惬意。山东两位大词人，一位婉约词派李清照，一位豪放词派辛弃疾，山东人杰地灵，好地方。
恨痴客,2021/4/26,5,这个东东太好了，下次还会去的！！！！
158****6226,2021/4/25,5,美丽的&#x0A;【景色】&#x0A;【趣味】好&#x0A;【性价比】高
如意葫,2021/4/25,5,非常棒的地方&#x20;太喜欢这里了&#x20;真是游人不断&#x20;而且湖水很深&#x20;里面有船&#x20;能到湖中心的岛上&#x20;票价不贵&#x20;非常适合玩的地方&#x20;水里面还有鱼呢
_WeCh****973045,2021/4/24,5,给爸爸妈妈买的，他们满意非常满意。很棒棒哦哈哈哈哈哈哈哈哈哈哈
M52****377,2021/4/24,5,大明湖是济南一处著名的景点值得一去
zjwzym,2021/4/24,4,济南市大明湖景区景色优美，值得游玩。
桃彩桔,2021/4/23,4,人不多环境清雅，风景秀丽。
老幺666,2021/4/23,5,非常好，景区无障碍通道再多一点就更好了
M25****5338,2021/4/23,5,若要说喜欢济南的什么，可能也就一面湖三面柳了吧。泉水甚是惹人爱，有了水，有了灵性。
东雨馨淇,2021/4/22,5,济南的著名景点，济南人的骄傲。
春暖花开2222,2021/4/21,5,***
身在山中不自知,2021/4/21,5,天下第一泉确实不是浪得虚名，虽然没有视频里的水那么大，但是三眼泉水汩汩流出也的确少见，不枉此行
shi****517,2021/4/21,5,天下第一泉，果然名不虚传，湖水清澈见底，泉眼虽然小了点，但是还是持续往外n冒，配合春天飞起的杨花，有如人间仙境，泉水可以喝&#x20;甘甜清爽。景色不错，
蓝色之梦2816,2021/4/21,5,很不错的一个游玩的地方，现在免费了
圣詹姆斯区颜之推,2021/4/21,5,【景色】湖光春色柳成烟，波光潋滟水如练，佳丽三千听荷香，只是未见夏雨荷。
何泰乐,2021/4/21,5,夏雨荷已然春风飘零，千古帝君浑然黄土盖丘，耀武惨然溜入阴沟，明湖依然秀美，唯一变化是认识到门票不是解决经济的良药！
backnumber,2021/4/20,5,还不错，景区有点小
夏威夷大龙虾,2021/4/20,5,景色不错，有趣好玩，性价比高，总体超赞，旁边就是大明湖，可以坐船。
131****7627,2021/4/20,5,济南著名景点之一，基本上是免费的，很大，湖上可以划船，湖边很多小吃，适合阳光充足的天气漫步
fcy911,2021/4/20,5,以前曾来过此处，那是白天前来，知道大明湖历史悠久，人文及自然景观很多，诸如历下亭、南丰祠、遐园、稼轩祠、小沧浪、超然楼、明湖居、北极阁等等，也留下了历代文人吟咏诗词。&#x0A;而此次夜晚走大明湖，别有风味。华灯初上，夜景迷人。灯光璀璨，水波粼粼，亭台楼阁与小桥倒影水中，别有韵味。湖上桥及湖心小岛，灯光将轮廓勾划凸显，如梦如幻。这样的美景也只能在夜晚才能享受。
M26****1568,2021/4/20,5,非常不错，大家可以来看看，风景好
zhao030407,2021/4/20,5,济南很有名的景点，不大，在解放阁那边
仰望星空账号,2021/4/20,5,景色优美，干净清澈，性价比高。
仰望星空账号,2021/4/19,5,湖光山色，景色宜人，美不胜收。
139****6813,2021/4/18,5,依济南独特地质条件，在这里造七十二泉，神来之笔，绘趵突泉美景，来济南必来此走走、转转、看看…。虽多次来此，再来一次又如何？
woolynn50,2021/4/18,4,昼夜喷涌的趵突泉为济南四大泉之首，声如虎吼的黑虎泉、可龙潭观鱼的五龙潭、犹如珍珠飘撒的珍珠池，济南四大名泉波光粼粼…济南游第三站，从千佛山骑车过来，一路小坡，很轻松，门票40，重点就是看趵突泉，人特别多，毕竟是济南的地标，其他可以看看李清照纪念馆，和一些小泉眼。
woolynn50,2021/4/18,5,众泉汇流的大明湖与环城河相连，水陆美景连绵不断，漫步曾堤萦水、七桥风月等美景，犹如画中游览…济南游第四站，大明湖景区，离开趵突泉和五龙潭都不远，免费，一直到晚上都可以进，市区的大湖，总体说还是不错，适合随便走走，逛逛，夜景也不错，到济南肯定是必来的。
xiewulin168,2021/4/18,5,环境不错，空气清新，值得一去。
M55****776,2021/4/17,5,环境优美性价比高，景色不错，有趣好玩，总体超赞，
叶的流浪,2021/4/17,4,济南的泉水很有名，正如语文课里的描述，值得看
afly32,2021/4/17,5,现在泉水没有一起多了，还是忆当年啊。
美丽的地球,2021/4/16,4,在济南市区里面比较有名的公园，门票都要好几十块。
K-COCK,2021/4/16,5,济南最著名的泉水，趵突泉！在泉城广场边上，此乃济南三大名胜之一，居济南七十二名泉之冠。乾隆皇帝南巡时因趵突泉水泡茶味醇甘美，曾册封趵突泉为“天下第一泉”。&#x0A;来济南旅游必须打卡之地！
M43****5441,2021/4/16,5,价格适中，趵突泉一般
美丽的地球,2021/4/16,4,公园的水特别漂亮，再加上明清的仿古建筑。
M30****6335,2021/4/15,5,很有特色的旅游景点，环境不错，有机会再去一趟
M29****8807,2021/4/15,5,赶上花展景色不错
M15****606,2021/4/15,5,5A景区，关键是现在免费对外开放。
M37****1822,2021/4/14,5,总体超赞，性价比高，有趣好玩，很值得去。可以和家人朋友一起去看看
琥珀的味道,2021/4/13,5,不错值得去性价比高，有趣好玩，景色不错，去了还想去的地方不错
阿平0001,2021/4/13,5,不错的，非常棒的，很喜欢的，希望更多的人喜欢
Joessy,2021/4/12,4,学历史地理，都提到过趵突泉，真了不起！！！！
meren,2021/4/12,4,环境还是很不错的，很漂亮，济南的泉水真多
主流人家,2021/4/12,5,真漂亮，三泉都在喷水。环境优美
何泰乐,2021/4/12,5,没有找到夏雨荷，看到了一半山影三面柳
巫大姐,2021/4/11,5,济南最出名的就是趵突泉景区，很多游客不远万里，慕名而来，在此打卡拍照留念，大家快来看看吧！
M28****3405,2021/4/11,4,很小，但是有代表性
m42****1984,2021/4/11,5,趵突泉，天下第一泉，位于济南泉城广场西侧。小学时代从老舍先生的散文里初次了解了它的美。这里是济南必打卡地，泉水清澈无比，景色非常迷人，更有乾隆皇帝等名人的手书真迹，院内有李清照纪念馆。自然与人文相得益彰，值得一游。
_cs38****1456,2021/4/11,5,泉城济南，济南泉城。问渠那得清如许，为有源头活水来！
131****7627,2021/4/11,5,济南最著名的景点了，5A景区，好多的泉，最著名的“三股水”，值得一去
真诚7577,2021/4/11,4,謝謝妳陪我游览济南大美风光，趵突泉很美的&#x0A;這個假期&#x20;狠快樂……&#x0A;雖然大家都因為變胖&#x20;不敢正面照&#x0A;蛋素&#x20;回了後努力鍛煉&#x20;&#x0A;下次穿比基尼??&#x20;&#x0A;海邊兒見辣妹來出發
鱼渔愉,2021/4/11,5,有空就到这里溜达溜达，是个不错的选择！
