Scenery,Time,Score,comment
崂山,2021/4/20,2分 一般,价格挺贵的没有可玩性。不太好玩
崂山,2021/4/19,5分 超棒,崂山好风光，真正的依山傍水，不高却又神韵
崂山,2021/4/19,4分 满意,"1. 仰口：最近距离登山看海

　　图：仰口风景区

　　仰口景区在崂山的东侧，如果是网上购买的电子票，需要在仰口停车场内的游客服务中心换票，自驾前来的小伙伴还可以把车停在此处(免费哒)。如果是现场购买门票，需要在停车场位置继续向仰口检票口方向前进，距离仰口停车步行10分钟左右，抵达检票处旁边位置就是现场售票处，此处可以现场购买仰口门票和索道票。

　　仰口有着最靠近海边的登山线路，”登高观海上仙山“指的就是这里了，俯瞰仰口沙滩十分优美。而且它还是崂山四景区中唯一一个不需要乘坐景区交通车即可开始游览的路线。登最高处的觅天洞看那鬼斧神工，需步步谨慎登高，这个洞内落差较大，最窄处仅容一人通过，过胖的小伙伴不要轻易尝试走觅天洞哟，卡住可别说我没提醒你。

　　门票信息：

　　旺季门票(当年4月1日-当年10月31日)：90元/位

　　淡季门票(当年11月1日-次年3月31日)：60元/位

　　仰口索道：35元/单程、60元/往返


Tips：

　　觅天洞内没有光线，建议携带小型光源或在山下购买手电筒。下山后可以到仰口的沙滩嗨皮一下，仰口海边暗流较多，不要在仰口沙滩处下海游泳。太不习惯青岛的路了，都开哭了。真不习惯。玩了个崂山，赶紧走人。老婆在某宝预定的小排部落，日照玩的很嗨。还是日照小城吃住玩的舒服，推荐给大家。"
崂山,2021/4/19,5分 超棒,【景色】崂山的风景秀丽，大美崂山，奇石嶙峋，依山傍海，不虚此行(?▽?)
崂山,2021/4/18,5分 超棒,崂山，位于山东省青岛市崂山区，古代又曾称牢山、劳山、鳌山等。它是山东半岛的主要山脉，崂山的最高峰名为巨峰，又称崂顶，地处北纬36°10′，东经120°37′，海拔1132.7米，峰顶面积约1.5平方公里，为崂山的主峰。
崂山,2021/4/17,4分 满意,景色不错，
崂山,2021/4/17,5分 超棒,印象非常好
崂山,2021/4/17,4分 满意,五一去人实在太多了 就没进 国庆又来青岛 正好碰到免门票政策 为了避开人流 起了个大早 小朋友体力好 下缆车后一直想往上爬 老人吃不消了只好作罢
崂山,2021/4/16,5分 超棒,非常值得去的地方，漂亮的大石头，高大的寿石，景色优美！
崂山,2021/4/15,5分 超棒,很好更棒不错值得一去非常好值得一去
