user,time,score,comment
hank0516,2021/4/28,4,人超多，不建议节假日去&#x0A;然后坐索道的话，景区摆渡大巴，就是将人从一个停车场送到另一个
???,2021/4/28,5,性价比高，有趣好玩，尤其是坐车去中天门的过程中，超级刺激。山路十八弯呀，感觉如果没有窗玻璃自己120%的会被摔出去。上山的过程中很是激动??????。对学生很友好呦～学生价可以便宜点呢。景色不错，总体超赞，
_WeCh****55533,2021/4/28,5,美丽的日出
158****7560,2021/4/28,5,挺好，爬山挺累。
腾飞会展房子哥,2021/4/28,5,总体超赞，有趣好玩，景色不错，性价比高，
心灵小花,2021/4/28,4,值得观赏的景区，就是下雨没看成日出??，有点可惜！
M33****7578,2021/4/27,5,远赴人间惊鸿艳&#x20;一睹人间盛世颜
210****539,2021/4/27,5,每年一次的泰山之巅，我的信仰我的魂
M37****7804,2021/4/27,5,非常有意义的一次出行，登山杖建议在红门下面买&#x20;15元左右伸缩款。&#x0A;总体超赞，性价比高，有趣好玩，景色不错，
不可居无竹,2021/4/27,5,冲着数千年的文化底蕴和精神烘托，体会泰山的人文和灵魂，全程无索道用了一天半上下尽二十公里，坚辛与乐趣并存，一路景色磅礴大气，名人石刻数不胜数，遗憾的是仙烟雾锁瞻鲁台，东方红日不出来，不过想想每一刻壮美的景观都需要很多很多等待和期许才能见到，那样的一瞬间方显弥足珍贵。
代言1,2021/4/26,5,好&#x20;不错不错。
M40****9954,2021/4/26,5,景色不错，
M46****4308,2021/4/26,5,总体超赞，
PPS360,2021/4/26,5,风景非常好，白云环绕，中国第一山。
158****6226,2021/4/26,5,【景色】美&#x0A;【趣味】高&#x0A;【性价比】ok
66****888,2021/4/25,4,一览众山小
M28****0134,2021/4/25,5,性价比高，景色不错，有趣好玩，总体超赞，累了?&#x20;又是腿软的一天！
盘旋的鹰,2021/4/25,4,4月10日夜爬泰山看日出，很奇特的经历，我们选择的是天外村坐车到中天门，节省了很大一部分体力，凌晨三点从中天门开始爬山，五点二十到日观峰，此时山上已站满等待看日出的人了，山上真的很冷，爬山的过程就可以发现风越来越凉了，但是山底租大衣，拿上去会很累，自己带一个轻薄羽绒服是最好了。
233****409,2021/4/24,5,景色不错，总体超赞，
M29****0938,2021/4/24,5,很不错值得信赖
M46****956,2021/4/24,5,景色很美，环境很好，空气清新，管理很有责任，这次旅游感觉很好，下次还会再来。景色不错，总体超赞，
?? 渡尘,2021/4/23,5,每年都必须去的地方！！！感谢泰山！！！
189****6550,2021/4/23,5,人好多，不过完成了心愿，跟媳妇一起爬的，不得不说媳妇的体力真的好，平常小看她了。
下乡插秧,2021/4/23,5,景色不错，
v菩提无树v,2021/4/23,5,景色不错，有趣好玩，
往北就是海,2021/4/23,5,泰山在天气不好的时候真的不建议夜爬，我就吃了天气的亏，山顶带一宿还没看到云海日出
_WeCh****946068,2021/4/22,5,非常棒，太美了，不负此行
FEER旅行,2021/4/22,5,泰山贵为五岳之首。自春秋战国秦王朝起，即为历代帝王文人墨客所推崇。这些年来，多次路过都因各种原因未能参拜泰山非常遗憾。值清明时节，细雨纷纷，终于走进泰安，得以成行。早晨的雨没有丝毫停歇的迹象，心里不由想起课本＞＞雨中登泰山。不再等了立刻出发。从红门入，全程步行，历经三个半小时，终于抵达南天门。感受第一就是泰山的厚重，无论是沧桑的泰山石，无数文人墨客的各色墨宝，还是一路参天古木，无时无刻不在彰显他的王者之势。细雨绵绵，云蒸霞蔚，云雾中的泰山别有一番风味。登泰山而小天下，登山一路艰辛，也时刻提醒我们需满怀敬畏之心，心怀天下，脚踏实地，砥砺前行。
new****lu,2021/4/22,4,后山景色不错，前山是朝圣之旅。
M23****6470,2021/4/21,5,五岳独尊，天气很好，两个大晴天。在山顶住宿下午13点开始爬山，18点到山顶，18点40看日落，早起在酒店阳台看日出，一切都是那么美好。泰山山顶夜景很美。还会再去。总体超赞，景色不错，
M22****6738,2021/4/21,5,景色不错，
voodoo_kiss,2021/4/21,5,不错的，性价比高，值得购买，推荐，再接再厉。
M34****7554,2021/4/20,5,第三次登泰山了，终于看到了日出（不容易??），就是人比较多，没有找到好的位置拍摄，建议大家还是春秋季节来泰山，会比较有机会看到日出。&#x0A;PS：明年还会再来??景色不错，有趣好玩，
kikyalice,2021/4/20,5,悠久的历史文化底蕴，厚重的人文气息，壮美秀丽的风景都在此山中，何其美哉！
lxgem,2021/4/20,4,还可以吧。
_WeCh****153688,2021/4/20,5,性价比高，总体超赞，有趣好玩，景色不错，
泰山风景区,2021/4/20,1分 不佳,没有用你们的门票，只让用**，不给退
M40****0162,2021/4/19,5,性价比高，
游戏玩家l,2021/4/19,5,总体超赞，
woolynn50,2021/4/19,5,泰山以壮丽著称，拥有众多的古迹，自秦始皇有13代帝王亲登泰山封禅祭祀，自古有五岳之首的美誉，是中华民族的象征…提前一晚在红门附近住下，第二天八点多一路上山，&#x20;途中有些石刻和庙宇，看头并不算太多，大概一个半小时到中天门，缆车上山，还好人不算太多，到南天门后一路到玉皇顶，大概玩到接近12点坐桃花峪缆车和汽车直接下山，总体说泰山人文大于风景
M52****683,2021/4/19,5,好总体超赞，
136****3311,2021/4/19,5,去年去的，携程购票游玩泰山，里面吃的都有不建议自己背上去，有索道，有段阶梯走的很累幸好带了拐杖，总体超赞，性价比高，有趣好玩，景色不错，
????好人理查德,2021/4/19,4,总体超赞，景色不错，性价比高，有趣好玩，
232****685,2021/4/19,5,总体超赞，
忧伤19930101,2021/4/18,5,景色不错，有趣好玩，
汤原县宁福刚,2021/4/18,5,东岳泰山，一览众山小，名不虚传！
rockcc,2021/4/18,5,很不错&#x20;特别好
tr****t,2021/4/17,5,文化厚重，风光秀丽，服务周到
徐绍淋,2021/4/17,5,景色不错，
馨月2021,2021/4/17,5,不错的景点，登上去需要些体力，但是过程很锻炼人，值得去！无限风光在险峰
_WeCh****246299,2021/4/16,5,十八盘比较难爬，到达南天门后，山顶一片云雾茫茫，风大且冷，有点遗憾看不到一览众山小的气势。山上的面馆有卖开水，小碗5块，大碗10块。
M22****2659,2021/4/16,5,非常好&#x20;愉快的旅程&#x20;good&#x20;good&#x20;good?&#x20;good
大纳卡岛沈括,2021/4/16,5,景色壮观，非常值得一去，趣味性还行
M35****5260,2021/4/15,5,性价比高，
zhao030407,2021/4/15,5,非常好玩，山很高不适合亲子，晚上爬有意思。
晓峰残雾啊,2021/4/15,5,有趣好玩，景色不错，性价比高，总体超赞，
土耳其驴,2021/4/15,5,整体不错景色宜人
什么啥啥与啥啥,2021/4/15,4,必去的地方
_WeCh****90452,2021/4/15,5,景色不错，总体超赞，
行在路上,2021/4/15,5,不错的体验，累并快乐着。
kikyalice,2021/4/15,5,风光优美，历史文化悠久，人文气息内浓厚，是休闲度假的好去处
_M13****0374,2021/4/15,5,好美的风景
M46****6005,2021/4/14,5,超级好用，携程网方便，快捷，好评总体超赞，
M49****470,2021/4/14,5,景色不错，总体超赞，
M28****7980,2021/4/14,4,第一次一个人来泰山?&#x20;，全程爬了六个多小时，六点多爬的，一点钟就爬到山顶了，山顶是真冷，嗖嗖的风，租了一件军大衣感觉好多了，因为是三月三的原因，山顶人特别多，和她们一起聊聊天时间很快就过去了，五点多和很多人一样在等日出，爬山过程很艰辛，看到日出的那一刻惊艳了，没有白来这一趟，下山是坐的缆车和巴士，体力好的可以步行下来
M30****6335,2021/4/14,5,领略大自然的风景，累并快乐着，有机会再去一趟
Dinger_er,2021/4/14,5,爬泰山累死了哈哈哈
M34****9114,2021/4/14,5,有趣好玩，景色不错，总体超赞，性价比高，齐鲁文化的标志。
梦一,2021/4/14,5,晚上爬山，到南天门找个宾馆休息，找个酒馆酌酒，然后早晨看日出，往山下走再仔细欣赏美景
155****5606,2021/4/13,4,景色一般般吧
M35****9369,2021/4/13,5,景色不错，有趣好玩，性价比高，总体超赞，
绝对零度109,2021/4/13,4,景色不错，
泰山风景区,2021/4/13,1分 不佳,性价比低，景色一般，价格高水平，服务低水平。
_WeCh****198792,2021/4/12,5,会当凌绝顶，一览众山小的哦泰山
小猪的思想,2021/4/12,5,不错总体超赞，
2019心灵鸡汤,2021/4/12,5,不错，值得爬，泰山，五岳之首，很美很美的景
liujie刘杰1112,2021/4/12,5,夜爬7.5个小时，酸爽
M22****209,2021/4/11,5,清明节又回泰安&#x0A;如果选择全程步行爬上泰山，就从红门上山，如果孩子大点对书法历史有兴趣，最好选择白天从红门上山，因为沿途可以看到很多文化遗迹，这也是泰山是自然文化遗产的原因，她不仅仅是座山，如果为了看日出只能晚上登山，但是除了夏季其他时间早上日出前山顶还是很冷的。&#x0A;因为此行带了八岁的娃，我选择了白天天外村汽车上山直达中天门，特别说一下泰山天外村度假酒店，我不是托，酒店真的很棒，就在天外村景区十字路口，步行到天外村购票处慢走也仅需要十分钟，酒店不贵，干净智能，小度小度全部解决了开关窗帘，电视等，孩子很喜欢，一开始选择是单纯因为我们是头天晚上到泰安，考虑到孩子可能起床不太早，就选择最近天外村的相对好的，没想到性价比这么高，还有早餐。&#x0A;我们带娃吃完饭八点出门，慢慢悠悠八点半就已经到了中天门，从中天门边爬边玩，爬的很慢，因为人多，上山还走了一小段正规台阶旁边的小野路，孩子特别喜欢，有水，有野花，就没有登山的枯燥了，因为开始爬的慢，到十八盘时已经十点多了，十八盘真的不易，但是因为是从中天门才爬，体力还可以，等觉得快坚持不住时已经看到了南天门，十一点多到南天门，在天街上漫步云端，吃了煎饼卷大葱，开始往玉皇顶走，因为走的太悠闲，爬人多赶不上索道，我们两点开始往索道处走，大约两点半坐上索道，三点坐上汽车，三点半就回到天外村了，公交车回到泰山站附近，现在自家的多了，公交车真的很不挤，很舒服，到泰山站附近找了家小饭店吃了泰山三美白菜豆腐水，哈哈，主要是让孩子吃点舒服的汤菜。悠闲吃完慢走，五点半到火车站，提前半小时等车，时间不紧不慢刚刚好。一定尽量不要在火车站附近吃，怎么也得走个十分钟路程再找地方吃饭
320****432,2021/4/10,5,出票非常快，优惠也很大，到了直接刷身份证就可以进入，而且是全网最优惠的渠道了，其他平台基本都是原价，性价比高，总体超赞，有趣好玩，景色不错，是一次很酷的出行体验，
長樂uu,2021/4/10,5,一个人说走就走的旅行??
M15****35,2021/4/10,5,5A级景点，景色秀丽，赞??赞??
BruceLee,2021/4/10,5,总体超赞，性价比高，有趣好玩，景色不错，
_WeCh****962978,2021/4/9,5,景色不错，有趣好玩，性价比高，总体超赞，
M40****7802,2021/4/9,5,一路的艰辛只为看日出
M42****1685,2021/4/9,5,一辈子不爬一次就只剩后悔了
M33****0065,2021/4/8,5,钟天地之灵秀，蕴山水之英华
M28****5573,2021/4/8,5,去泰山一定要去祭拜药王娘娘，很灵的，否则就白去了！
M43****2818,2021/4/7,5,无论经历了什么，一生中一定要去爬爬泰山，绕过十八盘到达玉皇顶，一切值得。
崽仔仔,2021/4/7,5,整体还不错
runningfox,2021/4/7,5,买票很方便
小楼昨夜没有风,2021/4/7,5,值得一去，红门步行进山，中天门坐索道，下山时在中天门换乘景区巴士，从天外村出来。
135****0416,2021/4/7,4,泰山保护得比较好，原始风景自然也漂亮，赏心悦目
Katharine16park,2021/4/6,4,相比其他名山大川，泰山的景色肯定不是最美的，山势也不算陡峭，很适合强度不大的户外郊游，但是整个景区管理的很好，甚至是整个泰安市都很整洁有序，适合踏青自由行
286****658,2021/4/6,5,人多景色不错，
sxn999,2021/4/6,5,历史文化底蕴浓厚，十八盘很难爬，但是爬行过程中很开心，欣赏美景，锻炼身体，带孩子一起爬山，很有乐趣，很开心，这是孩子第一次爬泰山，我也是第一次爬泰山，人生的一次历练。
M26****7155,2021/4/6,5,非常舒适，适合休息一下，环境不错，隔音很好，干净卫生，方便舒适，酒店位置非常好找，价格非常合适，很实惠。
泰山风景区,2021/4/6,1分 不佳,可玩性低，
