user,time,score,comment
M16****308,2021/4/29,5,山东省烟台市，中国著名滨海城市，自然风光秀丽，旅游好地方。
M13****271,2021/4/28,5,蓬莱阁不适合太小的孩子，因为都是历史遗迹和古建筑群，孩子对这些不感兴趣。感觉有个导游解说会更有意思。这次来主要是想坐索道，第一天刮大风索道不开，第二天索道开了，坐上去非常刺激。景色不错，总体超赞，
wuhang1973,2021/4/28,5,又到蓬莱阁，没见到海市蜃楼，登了田横山，看到了黄渤海分界线
138****8103,2021/4/28,5,海上仙境不是浪得虚名，己是第二次来了，景色依旧，也增加了一些新景点，比如说，八仙过海雕像。海市蜃楼景区。值得游玩，有机会再来。
zha****1976,2021/4/28,5,方便快捷，不用排队景色不错，总体超赞，
M22****304,2021/4/27,4,古建筑群在海边，风景不错景色不错，门票价格高点，出口回东门口还要再收10块钱坐车，稍不合理，缆车双程50，单程30
M24****8726,2021/4/26,4,还是不错，就是***点打卡的会更体贴景色不错，
阿伯次的额,2021/4/24,4,人间仙境蓬莱阁是值得票价的好地方，领略浩瀚仙山海景，不虚此行啊～
一舟915,2021/4/24,5,有趣好玩，
xyong2001,2021/4/24,5,景色不错，门票价格要便宜些就好了
xyong2001,2021/4/24,4,小人造景观，远看还行，里面没什么好看的
118****828,2021/4/23,4,栈道的景色还不错。蓬莱阁一般般
M47****737,2021/4/22,4,看海景吹海风，八仙过海，蓬莱仙境，可惜游玩时天气阴沉，看不到渤海与南海交界线遗憾
M24****6082,2021/4/22,5,总体超赞，
-风起云涌-,2021/4/21,4,还不错，还行
拥有宝贝,2021/4/21,5,在携程网上买票，非常方便，快捷。在景区门口出示身份证，工作人员用机器扫描，很快就通过了。&#x0A;整个景区风景优美，只可惜当天是阴天，不过也给仙境带来了名副其实的感觉。
M30****7258,2021/4/21,5,景色不错，还算值
天道酬勤雕,2021/4/19,5,景色不错，
205****573,2021/4/19,5,很不错的景点，作为一个国人应该铭记历史，要不忘国耻，奋发图强！刘公岛是一个爱国主义教育基地，名副其实得五星级景区。很有收获的一次旅行。性价比高，
130****5006,2021/4/19,5,这是一个许多年前去过的景点，在我心里中一直留下一个美好的印记，三十年后再次来感受她的美好。
186****0785,2021/4/19,5,人间仙境蓬莱阁位于山东烟台蓬莱市，因“八仙过海”和“海市蜃楼”奇观享誉海内外。独特的蓬莱阁景区不仅有“八仙过海”优美传说，海市蜃楼的奇幻，还有千年古建筑群，弥陀寺，蓬莱阁、******馆等景点，还有横田山一边黄一边绿的黄海勃海临界点……&#x0A;阳光明媚，有山有海有历史的风景性价比超高，很值的一游！
樹杈兒,2021/4/19,5,不错老祖留下来的东西，非常值得我们***敬佩，游完蓬莱阁再去田横山，有坐标必去的渤海和黄海分界点。
彼岸的曼珠沙华,2021/4/18,5,挺好景色不错
行万里路已然阅人无数,2021/4/18,5,标志性景点，路过就去看看
先行者1986,2021/4/18,5,不错，风景秀丽。。。。
蓬莱阁,2021/4/18,1分 不佳,太**，没意思
孙倩_Mark妈妈,2021/4/16,5,慢慢行，慢慢看！
M35****783,2021/4/16,5,还不错，周边沙滩很好。
