user,time,score,content
青州古城,2021/4/30,5.0,"青州古城有点儿像南锣鼓巷的布局，一条主街，剩下分支小胡同。这真是说走就走的旅行，走的很仓促，完全对青州不了解，去了之后发现人不多，除了主街很商业化，剩下分支胡同感觉很好，很安静，很适合拍照，慢慢溜达～四处看看～
                            
	                            
		                            "
青州古城,2021/4/30,4.0,"首先可能济南有芙蓉街，宽厚里，印象济南，中国驿的缘故吧，感觉青州古城的风格就没有特色了。再者，和中国驿及印象济南相比，古城的商业化气息太浓厚了，完全掩盖住了文化底蕴。除了城门楼和青石板路面，周边全是商铺。带娃驱车170公里专程来一趟感觉不值。对于没有去过济南那几个地方的朋友来说，还是非常不错的。
                            
	                            
		                            "
青州古城,2021/4/29,5.0,"青州古城是国家5A景区，街道上很干净，看着只是一条街似的，但是里边有偶园（里边的石头非常有特点），基督教堂（建筑非常精美），小吃有老槐树煎包，这个尽量不要饭点的时候去吃，要排很长时间。还有很多的小巷，里边也有很多的特色小吃
                            
	                            
		                            "
青州古城,2021/4/28,1.0,"任凭网上怎么介绍这是一个两千年多古城，现在看最多是一个在原址上建造的商业街。两边的建筑无一例外都是商铺，除了卖吃的喝的，就是各种批发市场批来的旅游纪念品，也没有什么地方特色。可圈可点的两个教堂值得一看，但是我去的那天是周日，不知道为什么也都不开门，只能隔着大铁栅栏门拍拍照。当然，这两个教堂也是原址上重建的，不是老建筑。街上是一队一队的旅行团，乱乱哄哄、吵吵嚷嚷，便寻不到古城的一丝痕迹。
                            
	                            
		                            "
青州古城,2021/4/27,4.0,"临时决定去的青州 ，因为时间有限 所以就逛了一下古城，本来去也就是抱着天下古城一个样的心态去的，没想到还不错，由于是淡季去所以人不多，相对逛起来也比较从容，整体古城按着修旧如旧的感觉，一座座牌坊，一棵古树，一株株百年牡丹都在守护着这座古城，也让人对它历史产生兴趣，一个让人还想去的地方，临走海看到一些非遗表演，整体不错
                            
	                            
		                            "
青州古城,2021/4/27,5.0,"特别长的一条街，街上是琳琅满目的小吃，其实感觉全国的古城都差不多。潍坊的还算有一些特色的。但是不知道为什么古城要修好多的教堂，这个就有点中不中西不西的感觉了，。体验感还算可以。跟朋友一块走马观花一个小时吧。
                            
	                            
		                            "
打了还打,2021/4/26,5,历史上的青州大有名气，尤其在《水浒传》里面。现在恢复的古城也还是可圈可点，作为旅游休闲景点，单薄了点，不过也不必苛求啦……
在这个城市漫步,2021/4/26,5,清明节期间去的，免费的5A景区。在里面待了两个小时吧，有几个小景点是要收门票的，但也不贵，小吃很多，商业气息浓厚，但毕竟免费性价比感觉很赞了。
青州古城,2021/4/26,4.0,"夜游古城.
这真是第三次来古城了. 不是旅游旺季又刚好下过雨. 没啥人有很多店也没开门.
带着孩子溜达溜达.从南门进的溜达溜达.里面很多店面都换了. 记得之前去里面还有家烧烤店现在也没有了.
还是旅游旺季的时候人多的感觉好.现在冷冷清清的.
                            
	                            
		                            "
rongrongba,2021/4/24,5,风景优美，游客不多，性价比极高的景点。有机会还会去。
饿货爱吃士力架,2021/4/22,5,景色不错，难得的免费五A景区，五一前夕游客不多，只有部分店铺开门了，在古城商业街上走走挺好的，停车方便！
青州古城,2021/4/22,5.0,"山东的四大古城之一。免费景点。走在那有着年代感的石砖上真的感觉穿越了，不像很多人为修建的古城一样，这里的一砖一瓦有着年代感。商业氛围不是特别浓，古城周边有好多民宿，价格也不贵。建议游玩一个多小时。老年旅游团不少
                            
	                            
		                            "
青州古城,2021/4/21,5.0,"青州是古九州之首，有7000余年的发展史，5000余年的文明史，十二年的国都辉煌，先后存在过广县城、广固城、南阳城、东阳城、东关圩子城、旗城等六座古城池。它是一座中国最古老的古城之一，甚至它还成为一个朝代的国都12年，是我国一个5A级景区。
冲这上述内容，我和Swineherd开车7小时，只为见一下传闻中的古城。可能没有导游的原因，感觉有点像济南大版的宽厚里，除了小吃就是商品，房子都是新盖的感觉，没感受出来7000年文化的内容，但听当地人介绍，说是老街在里边，参观的基本都是后翻新的。但如果不来看看，会一直惦记。上城楼参观要收每人5元的费用，可以俯视青州古城。除了南城门，其他的门都拆了，说是因修公路拆除了，真可惜。
                            
	                            
		                            "
青州古城,2021/4/21,4.0,"上个周末，本来是去潍坊看风筝节的，上午看完风筝节，下午朋友要去青州参加一个婚礼，就带着我和我对象去了青州，感觉青州的绿化率很高，空气很好，我们两就去了青州古城，古城里大多数已经被商业化了，人还是比较多的，也还比较付有历史气息，值得一去。
                            
	                            
		                            "
默然回首丶叹惜,2021/4/20,5,景色不错，有趣好玩，性价比高，总体超赞，个人觉得还不错，去了欧阳修和李成故居，感受到了中国文化的博大精深，又去了民俗文化馆，看到了当地人文民俗，还蛮不错
青州古城,2021/4/20,4.0,"青州古城确切的说是一个古城综合体，在原来的古城基础上进行了修缮和商业化渗入，我是从南阳河步行过去的，全程溜达没有坐观光车，往返一共三个小时。在地图上青州古城的右下方是景点集中区，其余是在古城建筑下的各种现代商铺，去的路上沿途是字画裱画得店铺，再往里就是各种吃的，没有发现特别想吃的，像一个巨大的步行街，每隔一段就有个仿古大柱子标示位置。后来我就去了居民的弄堂里，发现了一些古城遗址，比如有些腐蚀的木雕门面。景点比较分散，唯一感觉局促的需要时时刻刻小心电瓶车 小货车和轿车。景区应该限制一下车流哦。总体好评，预留时间半天就很充裕。各别景点收费，也不贵，里面风景都不错，可以根据情况买票，在网上现买就行，古城风特别大，这个季节我穿薄羽绒服不热。
                            
	                            
		                            "
青州古城,2021/4/19,4.0,"其实古街古镇都大同小异，青州也不例外，可惜这里的古街缺了点水，没有那么灵动，不过走一圈觉得很安逸，出来玩轻轻松松就好，不要求那么多啦，尤其是带娃游...
酸梅汤味道还不错，阿水大杯茶可能是这里的特色连锁，味道很不错，有点茶颜悦色的意思，牛肉生煎包味道很一般不知怎么变成了网红。
槐树是宋代的，到它面前不由肃然起敬，也许范仲淹也见过它，李清照也见过，岁月悠悠，这树就静静立于老街，小贩倚着它休息，小孩摘槐花来吃，鸟儿在枝间乘凉，猫儿在这磨爪，大树不言，径自生长，见证无数离合悲欢，战火平安。
                            
	                            
		                            "
青州古城,2021/4/18,4.0,估计比较少了，都是现代维修的，里面都是商铺，适合闲逛逛，走在青石板路上还是很放松的
青州古城,2021/4/18,4.0,"青岛好玩的很多，像刘公岛、鸡鸣岛、栈桥、五四广场、八仙渡、那香海钻石沙滩等等，但是我更喜欢那香海钻石沙滩和威海，今天打卡青州古城。青州古城文化旅游区，为国家5a级景区,古城共分为三大展示区域，一部分是青州三雕文化展区，即木雕、砖雕、石雕；另一部分是青州府老照片展区，主要展示分为“古城旧貌”、“名胜古迹”、“社会风情”。
                            
	                            
		                            "
青州古城,2021/4/17,4.0,"青州是古九州之首，是一座文化古城，有7000余年的发展史，青州古街是国家5A级景区。城内现存古街几百条，北门大街、偶园街是保存规模最大的街巷，走在那些石板路上，能够领略到青州古城曾经的辉煌，感受到深厚的历史文化气息。不过现在的商业氛围也很浓厚，都是一些小吃在街上。
                            
	                            
		                            "
青州古城,2021/4/17,5.0,"打卡青州古城√
真的好喜欢充满文化底蕴的地方啊，总觉得走进去就仿佛回到了那个年代，老街，城楼，教堂?它们承载了多少年的历史啊
青州古城真的很值得一去的，它真的很长很长，走到腿酸的那种，而且是免费的不用门票怎么说也是国家五A级景区呢，不用门票就能逛何乐而不为捏里面有挺多卖吃的，大家按喜好购买吧，游玩的乐趣不就是逛吃嘛~推荐啦~
                            
	                            
		                            "
青州古城,2021/4/17,3.0,"来青州出差顺便打卡的青州古城
建筑确实很多老建筑
但是太商业化了
卖的小吃也没什么特色
没有什么娱乐设施
大概是来的人还太少了
没有商业的街道到还有很多古色古香的建筑
有一些老的手工艺作坊
都没有开门了
大概是受疫情影响游客不多的原因吧
                            
	                            
		                            "
青州古城,2021/4/17,5.0,抖音打卡去的，宋城，古城都去了，小吃街啥也有
青州古城,2021/4/16,2.0,"青州古城城街不推荐
已经没什么古城味道，更偏向小吃街
对比其他景点小吃不贵
来的比较晚买票的地方都关门了
也没什么特别的特产"
青州古城,2021/4/15,3.0,"没意思，并不值得特意开车一个多小时过来，没什么逛头，所有店铺卖的东西就是大多旅游景点卖的那些东西 千篇一律，街上也并没有什么好吃的，顺路经过可以来看看，整条街挺长，全程慢走下来20多分钟可能，哦对了里面有几个单独的小景点，需要门票并没有进去，看着没什么吸引力。
                            
	                            
		                            "
青州古城,2021/4/14,5.0,"去龙口看朋友 路过古青州 按捺不住 下车逛起来。和不久前逛过的古襄阳城 和汉中古城比起来，建筑风格很像 不同的也就只能是各地不同的地方的众多小吃啦！隆盛出品 百年糕点值得点赞蜜三刀 桃酥 江米条 蛋糕还是小时候的味道！味蕾的穿越 儿时的回忆。美妙。再次感受到祖国的强大。还说啥 打包带走 给孩儿们带回去尝尝鲜。
                            
	                            
		                            "
青州古城,2021/4/13,5.0,"地理位置：
位于山东省潍坊市青州古城。
自驾游导航北京的周边游是个不错的地方。
导航到青州停车场免费。
古城门票免费。

环境：
青州古城是一条南北古老大街约长度5里。
南城门楼是最近的几年恢复建筑，没有北城门楼，一座牌楼下设置了健康扫码后进入步行街。
主街道为青石板铺路，看似乎是有年代感。
街道两侧门店铺都是买卖各种各样的吃食和玩艺。
街头巷尾突出的是地区特色小吃：烤饼，周村烧饼，山东煎饼，青州山楂糕，青州羊汤。

青州古城游览特色：
沿着南北主街道遛哒哒5里路，两侧有很多巷子通往居住区镇子里。都可以步行入城。
古城内名人牌坊都是有故事情节的。
古城里有2座教堂。

青州地方非遗在街头巷尾亮相：
剃头挑子
青州花毽
青州刺绣
青州御封酒坊
青州大鼓戏
青州太极拳
青州山东快书

体验评价：推荐前往。
                            
	                            
		                            "
